Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price,name
1079000.0,3.0,3.0,1833.0,49.2192676,-123.0252844,0.0,Yes,No,Yes,No,No,No,No,13.8915461710239,Killarney
868000.0,2.0,1.0,827.0,49.2680431,-123.1648229,0.0,Yes,Yes,Yes,No,No,No,No,13.673948145715556,Kitsilano
759900.0,1.0,1.0,858.0,49.261496,-123.1421605,0.0,Yes,Yes,Yes,No,No,No,No,13.540943440619635,Fairview
595000.0,1.0,1.0,485.0,49.2769028,-123.0686168,0.0,Yes,Yes,No,No,No,No,No,13.296318365198625,Grandview-Woodland
1649900.0,3.0,3.0,1397.0,49.2569112,-123.0809007,0.0,Yes,No,No,No,No,No,No,14.31622584407669,Mount Pleasant
1638000.0,3.0,4.0,1619.0,49.238304,-123.0784498,0.0,Yes,No,No,No,No,No,No,14.308987153895576,Kensington-Cedar Cottage
1598000.0,3.0,4.0,1512.0,49.238304,-123.0784498,0.0,Yes,No,No,No,No,No,No,14.28426403109039,Kensington-Cedar Cottage
3998000.0,4.0,2.0,2350.0,49.230233,-123.1489728,0.19,Yes,Yes,No,No,No,No,No,15.201305044167514,Kerrisdale
1499900.0,3.0,3.0,1305.0,49.2264053,-123.126931,0.0,Yes,Yes,No,No,No,No,No,14.220909663894345,Oakridge
1639900.0,3.0,3.0,1317.0,49.2263097,-123.1268861,0.0,Yes,Yes,No,No,No,No,No,14.31014643212463,Oakridge
1200000.0,2.0,2.0,968.0,49.2244216,-123.1171561,0.0,Yes,Yes,No,No,No,No,No,13.997832948091215,Oakridge
799000.0,2.0,1.0,854.0,49.2648173,-123.0953748,0.0,Yes,Yes,No,No,No,No,No,13.591117476312084,Mount Pleasant
4380000.0,8.0,6.0,4534.0,49.2391856,-123.1695994,0.18,Yes,No,Yes,No,No,No,No,15.292559510663104,Arbutus Ridge
4288000.0,5.0,3.0,2531.0,49.2719252,-123.2110984,0.08,No,No,Yes,No,No,No,No,15.271331214941704,West Point Grey
1199000.0,2.0,2.0,806.0,49.2749484,-123.1140814,0.0,Yes,Yes,No,No,No,No,No,13.99699926803766,Downtown
699000.0,2.0,1.0,617.0,49.2385963,-123.0310474,0.0,No,No,No,No,No,No,No,13.457407451830088,Renfrew-Collingwood
1048000.0,2.0,2.0,818.0,49.2660606,-123.1003553,0.0,Yes,Yes,No,No,No,No,No,13.862395098061144,Mount Pleasant
999900.0,2.0,2.0,1096.0,49.2173128,-123.1284378,0.0,Yes,No,Yes,No,No,No,No,13.81541155306345,Marpole
860000.0,2.0,2.0,733.0,49.2102802,-123.117996,0.0,Yes,Yes,No,No,No,No,No,13.664688831019712,Marpole
730000.0,1.0,1.0,642.0,49.2615585,-123.1534919,0.0,Yes,Yes,Yes,No,No,No,No,13.500801182986647,Kitsilano
1599000.0,4.0,2.0,1691.0,49.2476583,-123.0302775,0.08,Yes,Yes,Yes,No,No,No,No,14.284889617206764,Renfrew-Collingwood
749900.0,1.0,1.0,592.0,49.2883523,-123.1278977,0.0,Yes,Yes,No,No,No,No,No,13.527696476799726,West End
6980000.0,6.0,6.0,6129.0,49.239222,-123.1429856,0.27,Yes,No,Yes,No,No,No,No,15.75855961800502,Shaughnessy
2998000.0,5.0,3.0,2865.0,49.255835,-123.1878412,0.09,Yes,No,Yes,No,No,No,No,14.913456291200328,Dunbar-Southlands
3998000.0,4.0,5.0,3246.0,49.2425855,-123.1769523,0.1,Yes,No,No,No,No,No,No,15.201305044167514,Dunbar-Southlands
1068000.0,2.0,2.0,967.0,49.2793873,-123.1085456,0.0,Yes,Yes,No,No,No,No,No,13.881299234831427,Downtown
1823999.0,5.0,3.0,2019.0,49.2598832,-123.0791624,0.09,Yes,No,Yes,No,No,No,No,14.416542449616411,Mount Pleasant
1128000.0,2.0,2.0,989.0,49.277379,-123.1324212,0.0,Yes,Yes,Yes,No,No,No,No,13.93595759756457,West End
1068900.0,2.0,2.0,897.0,49.2762666,-123.1289805,0.0,Yes,Yes,No,No,No,No,No,13.88214157580281,Downtown
3200000.0,3.0,2.0,1500.0,49.2451977,-123.0537775,0.08,Yes,Yes,Yes,No,No,No,No,14.978661680269909,Renfrew-Collingwood
799900.0,2.0,2.0,831.0,49.2814536,-123.0634082,0.0,Yes,Yes,No,No,No,No,No,13.592243248992402,Grandview-Woodland
959900.0,1.0,1.0,748.0,49.2714233,-123.1012924,0.0,Yes,Yes,No,No,No,No,No,13.774585433126273,Mount Pleasant
2888000.0,5.0,3.0,2279.0,49.2630675,-123.20438,0.09,Yes,No,No,No,No,No,No,14.876075125255182,West Point Grey
1968000.0,6.0,3.0,2420.0,49.2387654,-123.0771996,0.08,No,No,No,No,No,No,No,14.492528864724289,Kensington-Cedar Cottage
2249900.0,4.0,3.0,1668.0,49.2480723,-123.1173059,0.0,Yes,No,No,No,No,No,No,14.626396773212576,South Cambie
1999900.0,3.0,3.0,1453.0,49.2480828,-123.1180422,0.0,Yes,No,No,No,No,No,No,14.508608237299054,South Cambie
2299900.0,4.0,3.0,1668.0,49.2480815,-123.1179474,0.0,Yes,No,No,No,No,No,No,14.64837663649472,South Cambie
699000.0,1.0,1.0,767.0,49.2901214,-123.139318,0.0,Yes,No,Yes,No,No,No,No,13.457407451830088,West End
605000.0,1.0,1.0,485.0,49.2832148,-123.1165335,0.0,Yes,Yes,No,No,No,No,No,13.312985389904174,Downtown
718000.0,1.0,1.0,721.0,49.233954,-123.1559999,0.0,Yes,No,Yes,No,No,No,No,13.484226240787052,Kerrisdale
920000.0,2.0,2.0,1033.0,49.2193131,-123.0385564,0.0,Yes,Yes,Yes,No,No,No,No,13.732130035981154,Killarney
1599900.0,4.0,2.0,1914.0,49.2326103,-123.0616247,0.07,Yes,No,Yes,No,No,No,No,14.285452310295671,Victoria-Fraserview
524800.0,1.0,1.0,575.0,49.2799278,-123.1066048,0.0,Yes,No,Yes,No,No,No,No,13.170774422098006,Downtown
2699000.0,6.0,5.0,2264.0,49.2776488,-123.0288189,0.09,Yes,No,Yes,No,No,No,No,14.808392262507668,Hastings-Sunrise
729000.0,1.0,1.0,555.0,49.2736185,-123.1281195,0.0,Yes,Yes,No,No,No,No,No,13.499430382731967,Downtown
1798800.0,3.0,2.0,1225.0,49.2880539,-123.1230949,0.0,Yes,No,Yes,No,No,No,No,14.402630889804708,Downtown
1438800.0,4.0,2.0,1138.0,49.2588542,-123.0655831,0.0,Yes,No,Yes,No,No,No,No,14.179320685826996,Kensington-Cedar Cottage
1399900.0,3.0,3.0,1456.0,49.2518068,-123.077442,0.0,Yes,Yes,No,No,No,No,No,14.1519120777994,Kensington-Cedar Cottage
1288000.0,3.0,3.0,1172.0,49.2090717,-123.1272117,0.0,Yes,No,Yes,No,No,No,No,14.06860196204365,Marpole
468000.0,1.0,1.0,620.0,49.2072293,-123.1273,0.0,Yes,Yes,No,No,No,No,No,13.056225711649638,Marpole
1228000.0,2.0,2.0,884.0,49.2805446,-123.1177465,0.0,Yes,Yes,No,No,No,No,No,14.02089820202114,Downtown
1699000.0,3.0,3.0,1594.0,49.2048921,-123.0333407,0.0,Yes,Yes,No,No,No,No,No,14.345550989235416,Killarney
890000.0,2.0,2.0,1175.0,49.2825246,-123.1079584,0.0,Yes,No,No,No,No,No,No,13.698977865303196,Downtown
2000000.0,3.0,2.0,1223.0,49.2758214,-123.1330423,0.0,Yes,Yes,Yes,No,No,No,No,14.508658238524095,Downtown
1178000.0,3.0,3.0,1581.0,49.207833,-123.0291821,0.0,Yes,No,No,No,No,No,No,13.979329492089745,Killarney
1695000.0,3.0,2.0,1671.0,49.2849902,-123.0463052,0.07,Yes,Yes,Yes,No,No,No,No,14.343193888767017,Hastings-Sunrise
2599000.0,3.0,2.0,1590.0,49.2798797,-123.1373624,0.0,Yes,No,Yes,No,No,No,No,14.770637698386924,West End
2550000.0,3.0,4.0,1537.0,49.259606,-123.2148759,0.09,Yes,No,Yes,No,No,No,No,14.751604309291396,West Point Grey
699800.0,1.0,1.0,613.0,49.2056396,-123.0286015,0.0,Yes,Yes,No,No,No,No,No,13.458551287894412,Killarney
1079900.0,2.0,2.0,916.0,49.2616057,-123.0577622,0.0,Yes,No,No,No,No,No,No,13.89237992823209,Kensington-Cedar Cottage
978000.0,2.0,2.0,937.0,49.2531016,-123.12788,0.0,Yes,No,Yes,No,No,No,No,13.79326597151132,Shaughnessy
1790000.0,2.0,3.0,1481.0,49.2567306,-123.1847534,0.0,Yes,Yes,Yes,No,No,No,No,14.397726736476,Dunbar-Southlands
1927000.0,3.0,3.0,1314.0,49.2423174,-123.1259698,0.0,Yes,Yes,No,No,No,No,No,14.47147546633773,South Cambie
699900.0,1.0,1.0,513.0,49.2699763,-123.1079699,0.0,Yes,Yes,No,No,No,No,No,13.45869417545215,Mount Pleasant
998888.0,3.0,3.0,1381.0,49.2076557,-123.0340199,0.0,Yes,Yes,Yes,No,No,No,No,13.814398940346283,Killarney
1990000.0,4.0,4.0,1510.0,49.2116829,-123.1375678,0.09,Yes,No,No,No,No,No,No,14.503645699213113,Marpole
