Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price
1079000.0,3.0,3.0,1833.0,49.2192676,-123.0252844,0.0,Yes,No,Yes,No,No,No,No,13.8915461710239
868000.0,2.0,1.0,827.0,49.2680431,-123.1648229,0.0,Yes,Yes,Yes,No,No,No,No,13.673948145715556
759900.0,1.0,1.0,858.0,49.261496,-123.1421605,0.0,Yes,Yes,Yes,No,No,No,No,13.540943440619637
595000.0,1.0,1.0,485.0,49.2769028,-123.0686168,0.0,Yes,Yes,No,No,No,No,No,13.296318365198623
1649900.0,3.0,3.0,1397.0,49.2569112,-123.0809007,0.0,Yes,No,No,No,No,No,No,14.31622584407669
1638000.0,3.0,4.0,1619.0,49.238304,-123.0784498,0.0,Yes,No,No,No,No,No,No,14.308987153895576
1598000.0,3.0,4.0,1512.0,49.238304,-123.0784498,0.0,Yes,No,No,No,No,No,No,14.28426403109039
3998000.0,4.0,2.0,2350.0,49.230233,-123.1489728,0.19,Yes,Yes,No,No,No,No,No,15.201305044167514
1499900.0,3.0,3.0,1305.0,49.2264053,-123.126931,0.0,Yes,Yes,No,No,No,No,No,14.220909663894343
1639900.0,3.0,3.0,1317.0,49.2263097,-123.1268861,0.0,Yes,Yes,No,No,No,No,No,14.31014643212463
1200000.0,2.0,2.0,968.0,49.2244216,-123.1171561,0.0,Yes,Yes,No,No,No,No,No,13.997832948091215
799000.0,2.0,1.0,854.0,49.2648173,-123.0953748,0.0,Yes,Yes,No,No,No,No,No,13.591117476312084
4380000.0,8.0,6.0,4534.0,49.2391856,-123.1695994,0.18,Yes,No,Yes,No,No,No,No,15.292559510663105
4288000.0,5.0,3.0,2531.0,49.2719252,-123.2110984,0.08,No,No,Yes,No,No,No,No,15.271331214941704
1199000.0,2.0,2.0,806.0,49.2749484,-123.1140814,0.0,Yes,Yes,No,No,No,No,No,13.99699926803766
699000.0,2.0,1.0,617.0,49.2385963,-123.0310474,0.0,No,No,No,No,No,No,No,13.457407451830088
1048000.0,2.0,2.0,818.0,49.2660606,-123.1003553,0.0,Yes,Yes,No,No,No,No,No,13.862395098061143
999900.0,2.0,2.0,1096.0,49.2173128,-123.1284378,0.0,Yes,No,Yes,No,No,No,No,13.81541155306345
860000.0,2.0,2.0,733.0,49.2102802,-123.117996,0.0,Yes,Yes,No,No,No,No,No,13.664688831019712
730000.0,1.0,1.0,642.0,49.2615585,-123.1534919,0.0,Yes,Yes,Yes,No,No,No,No,13.500801182986649
1599000.0,4.0,2.0,1691.0,49.2476583,-123.0302775,0.08,Yes,Yes,Yes,No,No,No,No,14.284889617206765
749900.0,1.0,1.0,592.0,49.2883523,-123.1278977,0.0,Yes,Yes,No,No,No,No,No,13.527696476799726
